name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
homedieci,7.8,8.5,8.0,8.4,0,7.8,0,0,1,8.4,0,0,7.3,0,0,0,0,0,Rome,0,1
RomaRex Luxury apartment,8.3,9.4,9.1,9.4,0,8.3,0,0,0,8.6,0,0,7.5,0,0,1,0,0,Rome,0,1
Design Apartment closed to Santa Maria Maggiore,9.0,7.5,10.0,10.0,0,10.0,0,1,1,10.0,0,0,10.0,1,0,1,0,0,Rome,1,3
Ulysses in Rome,9.3,9.6,9.4,9.9,0,9.2,0,0,1,9.5,1,0,9.5,0,0,0,0,0,Rome,1,1
NATIONAL Luxury apartment,8.6,9.3,8.8,9.1,0,8.1,0,0,1,8.7,0,0,8.7,1,0,0,0,1,Rome,1,2
Chilling Jacuzzi Suite and Deluxe rooms Guesthouse,9.3,9.6,9.5,9.8,0,9.4,0,0,1,9.4,0,0,9.6,0,0,0,0,1,Rome,1,1
Casa Heberart Guest House Capo le Case,8.4,9.8,8.7,9.1,0,8.3,0,1,1,8.5,0,0,8.7,0,0,0,0,0,Rome,1,1
Maison Tritone,9.6,9.9,9.8,9.9,0,9.7,0,0,1,9.4,0,0,9.8,1,0,0,0,1,Rome,1,2
"The Tribune, part of JdV by Hyatt",8.7,8.5,9.1,9.1,1,8.5,0,1,1,8.2,0,0,9.1,1,0,0,0,1,Rome,2,3
Paola A Trastevere,9.2,9.6,9.3,9.7,0,9.0,0,0,1,9.3,1,0,9.4,1,0,0,0,0,Rome,1,2
Magenta Classic Manara 4,7.7,9.4,7.8,8.5,0,7.5,0,0,1,8.1,0,1,7.9,0,0,0,0,0,Rome,1,1
NavonaMyHome,10.0,9.9,10.0,10.0,0,9.9,0,0,1,9.9,0,0,9.8,1,0,0,0,0,Rome,0,2
Allegra's House Caracciolo,8.8,9.2,9.0,9.6,0,8.9,0,0,1,9.1,0,0,9.2,0,0,0,0,1,Rome,1,1
CdR Guest House,8.6,9.5,8.8,9.3,0,8.7,0,0,1,8.9,0,0,8.9,0,0,0,0,1,Rome,1,1
Campo dei Fiori Sky Luxury View,7.5,9.5,7.6,7.8,0,7.5,0,0,1,7.4,1,0,8.3,1,0,1,0,0,Rome,1,3
Monti Central Apartment,7.7,8.8,8.2,8.3,0,7.5,0,0,1,8.1,0,0,8.1,0,0,0,0,0,Rome,0,1
